=== 简单建图数据 ===
总步数: 329
总时间: 427.07秒

=== 扫描数据 ===
步数,时间,X,Y,角度,前方,左侧,右侧,后方,最小距离
300,425.22,3.000,0.000,1.116,1.37,0.58,0.69,inf,0.58
301,425.28,3.010,0.000,1.116,1.36,0.55,0.68,inf,0.55
302,425.34,3.020,0.000,1.164,1.38,0.63,0.77,inf,0.63
303,425.41,3.030,0.000,1.211,1.41,inf,1.36,inf,1.36
304,425.47,3.040,0.000,1.259,1.45,inf,1.34,inf,1.34
305,425.54,3.050,0.000,1.259,1.45,inf,1.34,inf,1.34
306,425.60,3.060,0.000,1.259,1.44,inf,1.33,inf,1.33
307,425.66,3.070,0.000,1.259,1.44,inf,1.33,inf,1.33
308,425.73,3.080,0.000,1.259,1.44,inf,1.32,inf,1.32
309,425.79,3.090,0.000,1.259,1.42,inf,1.32,inf,1.32
310,425.86,3.100,0.000,1.259,1.44,inf,1.33,inf,1.33
311,425.92,3.110,0.000,1.259,1.43,inf,1.32,inf,1.32
312,425.98,3.120,0.000,1.259,1.43,inf,1.32,inf,1.32
313,426.05,3.130,0.000,1.259,1.41,inf,1.31,inf,1.31
314,426.11,3.140,0.000,1.306,1.45,inf,1.29,inf,1.29
315,426.18,3.150,0.000,1.354,1.49,inf,1.27,inf,1.27
316,426.24,3.160,0.000,1.401,1.53,inf,1.24,inf,1.24
317,426.30,3.170,0.000,1.401,1.54,inf,1.24,inf,1.24
318,426.37,3.180,0.000,1.401,1.53,inf,1.24,inf,1.24
319,426.43,3.190,0.000,1.401,1.52,inf,1.23,inf,1.23
320,426.50,3.200,0.000,1.401,1.53,inf,1.24,inf,1.24
321,426.56,3.210,0.000,1.401,1.52,inf,1.23,inf,1.23
322,426.62,3.220,0.000,1.401,1.52,inf,1.24,inf,1.24
323,426.69,3.230,0.000,1.401,1.51,inf,1.23,inf,1.23
324,426.75,3.240,0.000,1.401,1.52,inf,1.24,inf,1.24
325,426.82,3.250,0.000,1.401,1.52,inf,1.24,inf,1.24
326,426.88,3.260,0.000,1.401,1.51,inf,1.23,inf,1.23
327,426.94,3.270,0.000,1.401,1.52,inf,1.23,inf,1.23
328,427.01,3.280,0.000,1.401,1.53,inf,1.24,inf,1.24

=== 统计信息 ===
平均距离: 1.72m
最小距离: 0.52m
最大距离: 3.34m
有效测量次数: 1040
